,reportDate,ZCTA5CE10,cases,total_tested,pop
0,2021-07-14T00:00:00,60002,2055,23552,24058
1,2021-07-14T00:00:00,60004,4131,82628,50639
2,2021-07-14T00:00:00,60005,2636,47487,30079
3,2021-07-14T00:00:00,60007,3203,43331,33161
4,2021-07-14T00:00:00,60008,2618,36478,21663
5,2021-07-14T00:00:00,60010,3442,59612,46455
6,2021-07-14T00:00:00,60012,1042,17718,10647
7,2021-07-14T00:00:00,60013,2135,28944,26454
8,2021-07-14T00:00:00,60014,4489,54632,48063
9,2021-07-14T00:00:00,60015,1982,129487,27529
10,2021-07-14T00:00:00,60016,6757,98956,59291
11,2021-07-14T00:00:00,60018,3709,58714,30037
12,2021-07-14T00:00:00,60020,948,13468,10422
13,2021-07-14T00:00:00,60021,408,6086,5276
14,2021-07-14T00:00:00,60022,505,14648,8471
15,2021-07-14T00:00:00,60025,3442,69745,40935
16,2021-07-14T00:00:00,60026,1099,30746,14021
17,2021-07-14T00:00:00,60029,52,829,476
18,2021-07-14T00:00:00,60030,2819,44868,36125
19,2021-07-14T00:00:00,60031,3312,55008,37545
20,2021-07-14T00:00:00,60033,1599,15834,13703
21,2021-07-14T00:00:00,60034,182,2525,2088
22,2021-07-14T00:00:00,60035,1893,73217,29636
23,2021-07-14T00:00:00,60040,675,14849,5310
24,2021-07-14T00:00:00,60041,831,10821,8659
25,2021-07-14T00:00:00,60042,744,9329,8556
26,2021-07-14T00:00:00,60043,176,4242,2460
27,2021-07-14T00:00:00,60044,769,26508,9990
28,2021-07-14T00:00:00,60045,1418,55346,21134
29,2021-07-14T00:00:00,60046,3120,43316,34596
30,2021-07-14T00:00:00,60047,3601,70512,42608
31,2021-07-14T00:00:00,60048,2075,55892,29033
32,2021-07-14T00:00:00,60050,3150,43241,32565
33,2021-07-14T00:00:00,60051,2325,25263,22808
34,2021-07-14T00:00:00,60053,2422,48260,23089
35,2021-07-14T00:00:00,60056,5194,71515,54524
36,2021-07-14T00:00:00,60060,3711,47555,37544
37,2021-07-14T00:00:00,60061,1905,44028,26967
38,2021-07-14T00:00:00,60062,3329,107921,40686
39,2021-07-14T00:00:00,60064,3115,22663,15490
40,2021-07-14T00:00:00,60067,3539,67346,37840
41,2021-07-14T00:00:00,60068,3642,72183,37433
42,2021-07-14T00:00:00,60069,661,28469,8225
43,2021-07-14T00:00:00,60070,1572,27704,15908
44,2021-07-14T00:00:00,60071,332,3944,3737
45,2021-07-14T00:00:00,60072,63,1004,1051
46,2021-07-14T00:00:00,60073,7428,77819,61592
47,2021-07-14T00:00:00,60074,3758,46793,39217
48,2021-07-14T00:00:00,60076,3395,62851,31788
49,2021-07-14T00:00:00,60077,2785,61258,27626
50,2021-07-14T00:00:00,60081,881,9379,9379
51,2021-07-14T00:00:00,60083,890,13047,10094
52,2021-07-14T00:00:00,60084,1560,24057,16613
53,2021-07-14T00:00:00,60085,9916,120729,70700
54,2021-07-14T00:00:00,60087,3695,36250,26429
55,2021-07-14T00:00:00,60088,804,9395,12816
56,2021-07-14T00:00:00,60089,3032,63867,41014
57,2021-07-14T00:00:00,60090,4409,81168,38553
58,2021-07-14T00:00:00,60091,1792,43492,27165
59,2021-07-14T00:00:00,60093,1662,34066,19409
60,2021-07-14T00:00:00,60096,608,6469,6733
61,2021-07-14T00:00:00,60097,936,11695,10728
62,2021-07-14T00:00:00,60098,3432,52936,32972
63,2021-07-14T00:00:00,60099,3647,54372,30145
64,2021-07-14T00:00:00,60101,5219,47821,38856
65,2021-07-14T00:00:00,60102,2992,37350,32663
66,2021-07-14T00:00:00,60103,4454,61236,41755
67,2021-07-14T00:00:00,60104,2560,29283,18904
68,2021-07-14T00:00:00,60106,2524,31774,20341
69,2021-07-14T00:00:00,60107,4834,59098,39894
70,2021-07-14T00:00:00,60108,2751,46432,22494
71,2021-07-14T00:00:00,60109,65,1008,614
72,2021-07-14T00:00:00,60110,4856,41913,38984
73,2021-07-14T00:00:00,60111,26,322,163
74,2021-07-14T00:00:00,60112,472,5640,4422
