,OverFifty,TotalPop,TRACTCE
"Census Tract 4302, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:430200",1891,4961,430200
"Census Tract 4305, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:430500",1023,3569,430500
"Census Tract 4314, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:431400",2686,6979,431400
"Census Tract 4407, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:440700",809,1440,440700
"Census Tract 4701, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:470100",1092,2336,470100
"Census Tract 8626.05, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:862605",1302,4112,862605
"Census Tract 8631, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:863100",808,2395,863100
"Census Tract 8637.02, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:863702",1607,3816,863702
"Census Tract 8640.01, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:864001",1704,6311,864001
"Census Tract 8641.05, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:864105",2881,6401,864105
"Census Tract 103, Jersey County, Illinois: Summary level: 140, state:17> county:083> tract:010300",1666,3918,010300
"Census Tract 101, Jersey County, Illinois: Summary level: 140, state:17> county:083> tract:010100",1890,4752,010100
"Census Tract 105, Jersey County, Illinois: Summary level: 140, state:17> county:083> tract:010500",737,1531,010500
"Census Tract 102, Jersey County, Illinois: Summary level: 140, state:17> county:083> tract:010200",1306,3355,010200
"Census Tract 9546, Putnam County, Illinois: Summary level: 140, state:17> county:155> tract:954600",1471,2937,954600
"Census Tract 9545, Putnam County, Illinois: Summary level: 140, state:17> county:155> tract:954500",1227,2809,954500
"Census Tract 9716, De Witt County, Illinois: Summary level: 140, state:17> county:039> tract:971600",1703,3910,971600
"Census Tract 9714, De Witt County, Illinois: Summary level: 140, state:17> county:039> tract:971400",1169,2435,971400
"Census Tract 9715, De Witt County, Illinois: Summary level: 140, state:17> county:039> tract:971500",1134,2828,971500
"Census Tract 9717, De Witt County, Illinois: Summary level: 140, state:17> county:039> tract:971700",1426,3408,971700
"Census Tract 9718, De Witt County, Illinois: Summary level: 140, state:17> county:039> tract:971800",1156,3461,971800
"Census Tract 9508, Fayette County, Illinois: Summary level: 140, state:17> county:051> tract:950800",1648,5004,950800
"Census Tract 9506, Fayette County, Illinois: Summary level: 140, state:17> county:051> tract:950600",1069,2452,950600
"Census Tract 9510, Fayette County, Illinois: Summary level: 140, state:17> county:051> tract:951000",874,1848,951000
"Census Tract 9505, Fayette County, Illinois: Summary level: 140, state:17> county:051> tract:950500",1128,2790,950500
"Census Tract 9509, Fayette County, Illinois: Summary level: 140, state:17> county:051> tract:950900",662,2116,950900
"Census Tract 9511, Fayette County, Illinois: Summary level: 140, state:17> county:051> tract:951100",1268,3010,951100
"Census Tract 9507, Fayette County, Illinois: Summary level: 140, state:17> county:051> tract:950700",1899,4504,950700
"Census Tract 2, Lee County, Illinois: Summary level: 140, state:17> county:103> tract:000200",1491,3038,000200
"Census Tract 6, Lee County, Illinois: Summary level: 140, state:17> county:103> tract:000600",1252,3539,000600
"Census Tract 3, Lee County, Illinois: Summary level: 140, state:17> county:103> tract:000300",1598,4337,000300
"Census Tract 7, Lee County, Illinois: Summary level: 140, state:17> county:103> tract:000700",873,1908,000700
"Census Tract 8214.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:821402",1403,2997,821402
"Census Tract 8221.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:822101",1641,4265,822101
"Census Tract 8231.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:823102",1408,3509,823102
"Census Tract 8233.04, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:823304",2090,6138,823304
"Census Tract 8245.07, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:824507",1815,4291,824507
"Census Tract 8248, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:824800",1687,7440,824800
"Census Tract 8249, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:824900",1141,3301,824900
"Census Tract 8254, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:825400",1991,5099,825400
"Census Tract 8255.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:825501",2181,5257,825501
"Census Tract 8255.03, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:825503",2547,6919,825503
"Census Tract 8255.05, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:825505",2108,5893,825505
"Census Tract 8262.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:826202",1411,5676,826202
"Census Tract 8504, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:850400",1382,2550,850400
"Census Tract 8514, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:851400",1392,6922,851400
"Census Tract 8522.01, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:852201",1923,4669,852201
"Census Tract 8532, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:853200",1441,6346,853200
"Census Tract 8534, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:853400",1597,9706,853400
"Census Tract 8540.02, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:854002",1749,5187,854002
"Census Tract 8520.01, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:852001",2031,4780,852001
"Census Tract 8036.03, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:803603",2909,6827,803603
"Census Tract 8036.10, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:803610",2147,7294,803610
