,pop,ZCTA5CE10
"ZCTA5 60970: Summary level: unknown, state:17> zip code tabulation area:60970",6753,60970
"ZCTA5 62323: Summary level: unknown, state:17> zip code tabulation area:62323",241,62323
"ZCTA5 60429: Summary level: unknown, state:17> zip code tabulation area:60429",15108,60429
"ZCTA5 60461: Summary level: unknown, state:17> zip code tabulation area:60461",4716,60461
"ZCTA5 60462: Summary level: unknown, state:17> zip code tabulation area:60462",39784,60462
"ZCTA5 60466: Summary level: unknown, state:17> zip code tabulation area:60466",21909,60466
"ZCTA5 60470: Summary level: unknown, state:17> zip code tabulation area:60470",542,60470
"ZCTA5 60481: Summary level: unknown, state:17> zip code tabulation area:60481",11809,60481
"ZCTA5 60471: Summary level: unknown, state:17> zip code tabulation area:60471",13917,60471
"ZCTA5 60472: Summary level: unknown, state:17> zip code tabulation area:60472",4904,60472
"ZCTA5 60479: Summary level: unknown, state:17> zip code tabulation area:60479",925,60479
"ZCTA5 60539: Summary level: unknown, state:17> zip code tabulation area:60539",223,60539
"ZCTA5 60026: Summary level: unknown, state:17> zip code tabulation area:60026",14021,60026
"ZCTA5 60051: Summary level: unknown, state:17> zip code tabulation area:60051",22808,60051
"ZCTA5 60124: Summary level: unknown, state:17> zip code tabulation area:60124",22074,60124
"ZCTA5 60133: Summary level: unknown, state:17> zip code tabulation area:60133",38113,60133
"ZCTA5 60144: Summary level: unknown, state:17> zip code tabulation area:60144",56,60144
"ZCTA5 60156: Summary level: unknown, state:17> zip code tabulation area:60156",28809,60156
"ZCTA5 60169: Summary level: unknown, state:17> zip code tabulation area:60169",33373,60169
"ZCTA5 60189: Summary level: unknown, state:17> zip code tabulation area:60189",29999,60189
"ZCTA5 60403: Summary level: unknown, state:17> zip code tabulation area:60403",18653,60403
"ZCTA5 60404: Summary level: unknown, state:17> zip code tabulation area:60404",19028,60404
"ZCTA5 60428: Summary level: unknown, state:17> zip code tabulation area:60428",12180,60428
"ZCTA5 60484: Summary level: unknown, state:17> zip code tabulation area:60484",6423,60484
"ZCTA5 60487: Summary level: unknown, state:17> zip code tabulation area:60487",26736,60487
"ZCTA5 62419: Summary level: unknown, state:17> zip code tabulation area:62419",185,62419
"ZCTA5 62446: Summary level: unknown, state:17> zip code tabulation area:62446",372,62446
"ZCTA5 62448: Summary level: unknown, state:17> zip code tabulation area:62448",5383,62448
"ZCTA5 62465: Summary level: unknown, state:17> zip code tabulation area:62465",960,62465
"ZCTA5 62469: Summary level: unknown, state:17> zip code tabulation area:62469",517,62469
"ZCTA5 62471: Summary level: unknown, state:17> zip code tabulation area:62471",10306,62471
"ZCTA5 62477: Summary level: unknown, state:17> zip code tabulation area:62477",732,62477
"ZCTA5 62478: Summary level: unknown, state:17> zip code tabulation area:62478",409,62478
"ZCTA5 62481: Summary level: unknown, state:17> zip code tabulation area:62481",485,62481
"ZCTA5 62515: Summary level: unknown, state:17> zip code tabulation area:62515",1164,62515
"ZCTA5 62538: Summary level: unknown, state:17> zip code tabulation area:62538",537,62538
